ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10771410,HZ535858,12/01/2016 04:00:00 AM,018XX S WABASH AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,RESIDENCE,false,false,0131,001,3,33,03,1177049,1891470,2016,12/08/2016 03:55:45 PM,41.857533855,-87.625603607,"(41.857533855, -87.625603607)"
10770821,HZ536213,12/01/2016 04:00:00 AM,090XX S CONSTANCE AVE,0810,THEFT,OVER $500,STREET,false,false,0413,004,8,48,06,1190094,1845308,2016,12/08/2016 03:55:45 PM,41.730557123,-87.579208059,"(41.730557123, -87.579208059)"
10770501,HZ535470,12/01/2016 04:00:00 AM,067XX S UNION AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0723,007,6,68,08B,1172898,1860242,2016,12/08/2016 03:55:45 PM,41.771934088,-87.641762564,"(41.771934088, -87.641762564)"
10770296,HZ535650,12/01/2016 04:30:00 AM,003XX N KILPATRICK AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,false,false,1113,011,28,25,07,1144996,1901427,2016,12/08/2016 03:55:45 PM,41.885521843,-87.743006307,"(41.885521843, -87.743006307)"
10770050,HZ535475,12/01/2016 04:30:00 AM,021XX E 96TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,true,true,0431,004,7,51,08A,1191763,1841719,2016,12/08/2016 03:55:45 PM,41.720668266,-87.573210162,"(41.720668266, -87.573210162)"
10770060,HZ535479,12/01/2016 04:59:00 AM,011XX W WRIGHTWOOD AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,false,false,1932,019,32,7,03,1168355,1917427,2016,12/08/2016 03:55:45 PM,41.928953843,-87.656764197,"(41.928953843, -87.656764197)"
10770067,HZ535480,12/01/2016 05:11:00 AM,049XX W MELROSE ST,1020,ARSON,BY FIRE,RESIDENCE-GARAGE,false,false,1634,016,30,15,09,1142963,1921156,2016,12/08/2016 03:55:45 PM,41.939698481,-87.749979205,"(41.939698481, -87.749979205)"
10770460,HZ535543,12/01/2016 05:20:00 AM,071XX S SEELEY AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,0735,007,17,67,06,1163925,1857405,2016,12/08/2016 03:55:45 PM,41.764342258,-87.674734457,"(41.764342258, -87.674734457)"
10770202,HZ535502,12/01/2016 05:23:00 AM,025XX N WAYNE AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,true,false,1932,019,32,7,07,1166884,1916888,2016,12/08/2016 03:55:45 PM,41.927506522,-87.662185132,"(41.927506522, -87.662185132)"
10770268,HZ535651,12/01/2016 05:30:00 AM,064XX S LOWE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0723,007,16,68,06,1173144,1862203,2016,12/08/2016 03:55:45 PM,41.777309867,-87.640802922,"(41.777309867, -87.640802922)"
